"masked_pin","period","tax_type","total_turnover","total_operating_expense","total_administrative_expenses","total_financial_expenses","total_other_expenses","gross_tax"
"65a613e98532424289176f4c3075c694fe62a162a520aedce2e142c952d85398","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,1289.00
"550c74e158e19f18d8a3d9df868423c44f475de40e6feb355ec36d77b5901a8a","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,178874.00
"49d76e8aeafc364bb1d8fa5c1a84d0d89bfbe7fbb8bcdde193d6f6cad1c89066","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
c623602a02d72162e8bf9fc287d80e38301457cacc1f32efdb7eefd2e1c8a39e,"2023",Income Tax - Resident Individual,0.00,501876.00,44953.00,0.00,305923.00,0.00
"6500e8930099d2bf4e4b34ebf5f4993b553492dfe1c2bcfeab88565b6e9b8e86","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"3f6aa13d35265b20d0ee1ac94eb70647101749388913a4c2c3fe40412a9b4619","2023",Income Tax - Resident Individual,6076555.00,2729439.15,393935.00,121899.00,1383047.51,340177.00
"3024a4db1809936fc1ece3cd491027bf79b7a6c0ec9577cb7834d3f4a7577929","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,103174.00
"41130928899e90f8b16a6c531f1e8cf1e59b184631093fbdc7e304b46c863d56","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,24025.00
f067bcfeadfb79fce0835f7a71901e33787fa8bf9f30dfb0dfa3cd6eb1a53171,"2024",Income Tax - Resident Individual,756420.00,53640.00,0.00,2640.00,375940.00,364.00
db83a2316ca919300f4690e9f4d0ad4cc08c3037d20ebdaa4ff523e2ec581b95,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,1073172.00
"418ed9a2dde775f8555f5506253a0892e0abb998ca79020a9a0a4253c944ffb5","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,298979.00
"306e1c0a24c34f3a121b504b629dfb3a7ace73c1e16d1ff6ba8d9d28b070294d","2023",Income Tax - Resident Individual,3835833.33,0.00,0.00,0.00,3147586.00,115075.00
"1b52fa46f89196ef06efd818fc759dae5ff198938f4887f83e414582042ffb51","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"0ec1176fa6ccdd4f627639d2bdea29e5aa698e999706eca442cd8395ab2f43ef","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"7572a44348e8173337360441103c55a3fd68f61f82b1bbd20e05c8c64307e853","2023",Income Tax - Resident Individual,1.00,1.00,0.00,0.00,0.00,0.00
"0001654779ef3bd79bb35e6fae91be8605d9dc251ae01f7e28e88d1c8a3ca21a","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,12168.00
"000756a1846c1fa7558a1c3b7b2b40c350b3b122b61b3fd0eb4c484fc20c890a","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,99522.00
"0001654779ef3bd79bb35e6fae91be8605d9dc251ae01f7e28e88d1c8a3ca21a","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"001853c7ac4b53329c2b064278b948c44fc91d02443d29a5447e76bc1b3778cd","2024",Income Tax - Company,2980764.95,63500.00,0.00,14000.00,270000.00,94129.49
"000756a1846c1fa7558a1c3b7b2b40c350b3b122b61b3fd0eb4c484fc20c890a","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,86905.00
"3cc5a0fdb8c84cf93858665812f3838a8cfcf6232f049395fd6828f70c98ce89","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"503d6dc5cc934ad28a14063b4eb9520ae2ebd088a4924154f3519d5cf3ed94ae","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,69595.00
a4bb2ed8db53a579b1f31cc0b21d617506bfe03d3990cec0bd3200a14c16131c,"2023",Income Tax - Resident Individual,250000.00,0.00,0.00,0.00,375000.00,0.00
"72e082f5aa77e8dff5acac5aef8065aec62b4deca629809fef745571bfb34be8","2024",Income Tax - Company,8388479.00,30000.00,13947.00,44000.00,1920000.00,0.00
"1e4b734c1339dceeb40ba58db2964ce4a3b5d18c63870582b59bddc1277a2e86","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
d052c92d413789e59e49f50f6df2fa4a2532dc5f4cb72688a9e6dc0d8c60c784,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"8fbe68daeb9c47ce403a0e4b5a4ea0a491ce790bb55d98c8a7f445449fcc25c0","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"67247cc38bfa552c541acd8711148356f3e04a8b1102f43aee08f43cfbec5101","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
